Unnamed: 0,제목,랭킹,저자,출판사,평점,리뷰수,가격
605,파이썬 입문,None,야마다.요시히로.야마다.나미,시그마프레스,0.0,0,22500
606,으뜸 파이썬,None,박동규.강영민,생능출판,0.0,0,32000
616,누구나 파이썬,None,전익진,디스커버리미디어,0.0,0,15750
617,누구나 파이썬,None,전익진,디스커버리미디어,0.0,0,15750
618,디딤돌 파이썬,None,미상,인피니티북스,0.0,0,26100
619,모두의 파이썬,None,미상,길벗,0.0,0,10800
620,파이썬 딥러닝 케라스,None,조한성,정보문화사,0.0,0,25200
621,파이썬 딥러닝 케라스,None,조한성,정보문화사,0.0,0,25200
622,마케터의 파이썬,None,정희석,e비즈북스,0.0,0,22000
623,나혼자 파이썬,None,이창현,디지털북스,0.0,0,13500
624,나혼자 파이썬,None,이창현,디지털북스,0.0,0,13500
625,혼자 공부하는 파이썬,None,윤인성,한빛미디어,0.0,0,19800
626,혼자 공부하는 파이썬,None,윤인성,한빛미디어,0.0,0,19800
627,파이썬 스킬 업,None,브라이언 오버랜드,길벗,0.0,0,36000
628,파이썬 스킬 업,None,브라이언.오버랜드.존.베넷,길벗,0.0,0,36000
629,파이썬 스킬 업,None,브라이언.오버랜드.존.베넷,길벗,0.0,0,36000
630,파이썬 챌린지,None,니콜라.레이시,제이펍,0.0,0,10080
631,파이썬 챌린지,None,니콜라.레이시,제이펍,0.0,0,10080
632,고성능 파이썬,None,미샤.고렐릭.이안.오스발트,한빛미디어,0.0,0,32400
633,고성능 파이썬,None,미샤.고렐릭.이안.오스발트,한빛미디어,0.0,0,32400
634,파이썬의 정석,None,시바타.보요,루비페이퍼,0.0,0,23400
635,파이썬의 정석,None,시바타.보요,루비페이퍼,0.0,0,23400
636,진지한 파이썬,None,쥘리앵.당주,한빛미디어,0.0,0,25200
637,진지한 파이썬,None,쥘리앵.당주,한빛미디어,0.0,0,25200
638,진지한 파이썬,None,쥘리앵당주,한빛미디어,0.0,0,25200
639,연오의 파이썬,None,박연오,인사이트,0.0,0,17820
640,파이썬 첫걸음,None,James.R.Payne,잇플,0.0,0,23400
641,나의 첫 파이썬,None,에릭.마테스,한빛미디어,0.0,0,27000
642,나의 첫 파이썬,None,에릭.마테스,한빛미디어,0.0,0,27000
643,이젠 나도! 파이썬,None,이지선,성안당,0.0,0,22500
644,이젠 나도! 파이썬,None,이지선,성안당,0.0,0,22500
645,이젠 나도! 파이썬,None,이지선,성안당,0.0,0,22500
646,파이썬 코딩 도장,None,미상,길벗,0.0,0,22500
647,파이썬 코딩 도장,None,미상,길벗,0.0,0,22500
648,파이썬 코딩도장,None,미상,웅진북센리빙올(wjbooxenlivingall),0.0,0,22500
649,이젠 나도 파이썬,None,미상,웅진북센리빙올(wjbooxenlivingall),0.0,0,22500
