Unnamed: 0,제목,랭킹,저자,출판사,평점,리뷰수,가격
149,파이썬으로 배우는 과학계산,None,김웅태,서울대학교출판문화원,0.0,0,33950
150,파이썬으로 데이터 주무르기 (독특한 예제를 통해 배우는 데이터 분석 입문),None,민형기,비제이퍼블릭,5.0,1,24750
151,인공지능과 함께하는 파이썬,None,"복거철, 정회경",성진미디어,0.0,0,15000
152,그림과 함께하는 파이썬 수업,None,"최윤철, 임순범",생능출판,0.0,0,25200
153,파이썬으로 시작하는 캐글 (예제 코드 상세 해설 수록),None,"이시하라 쇼타로, 무라타 히데키",제이펍,0.0,0,16200
154,엑셀Ⅹ파이썬 코드 레시피 125 (퇴근 시간을 앞당겨주는 엑셀 업무자동화를 위한 첫걸음),None,카네히로 카즈미,에이케이커뮤니케이션즈,0.0,0,22500
155,"파이썬으로 배우는 포트폴리오 (금융공학/퀀트 투자의 기초부터 투자 모델, 머신 러닝까지!)",None,곽승주,길벗,0.0,0,23400
156,파이썬으로 코딩하는 물리,None,송오영,21세기사,0.0,0,26100
157,난생처음 파이썬 프로그래밍,None,우재남,한빛아카데미,5.0,3,21600
158,알 스웨이가트의 파이썬 프로젝트 (81개의 실습 예제로 시작하는 파이썬 프로그래밍 입문),None,알 스웨이가트,제이펍,0.0,0,25200
159,모두의 데이터 과학 with 파이썬 (수집 ▶ 정리 ▶ 탐구 ▶ 예측 ▶ 가치로 배우는 기초 데이터 과학),None,드미트리 지노비에프,길벗,0.0,0,19800
160,"파이썬으로 만드는 나만의 게임 (핑퐁, 장애물 피하기, 레이싱, 슈팅 게임 등 다양한 예제로 배우는 파이썬)",None,이수안,비제이퍼블릭,5.0,1,22500
161,프로그래밍의 정석: 파이썬 (제어 구조의 설계 원리를 중심으로 배우는),None,도경구,생능출판,0.0,0,25200
162,프로그래머를 위한 파이썬 (실전 프로젝트로 배우는 소프트웨어 개발의 원리와 정석),None,데인 힐라드,제이펍,0.0,0,22500
163,"엑셀 × 파이썬 업무 자동화 (매크로, VBA는 이제 낡았다!)",None,카네히로 카즈미,인사이트,0.0,0,16200
164,파이썬을 이용한 수치해석,None,"류권규, 이남주",씨아이알,0.0,0,31500
165,입문자를 위한 파이썬 프로그래밍,None,김상근,북스홀릭퍼블리싱,0.0,0,19800
166,파이썬 텍스트 마이닝 완벽 가이드 (자연어 처리 기초부터 딥러닝 기반 BERT 모델까지),None,"박상언, 강주영 외 1명",위키북스,5.0,1,25200
167,금융 데이터를 위한 파이썬 (부동산&주식 데이터 수집ㆍ분석ㆍ활용까지),None,테리엇,비제이퍼블릭,0.0,0,21600
168,파이썬으로 구현한 인공지능,None,박태희,홍릉,0.0,0,23000
169,깐깐하게 배우는 파이썬 3 (기본기를 다져주는 단계별 학습법),None,제드 쇼,인사이트,0.0,0,19800
170,함수형 파이썬 프로그래밍 (파이썬으로 배우는 쉬운 함수형 프로그래밍),None,스티븐 로트,에이콘출판,0.0,0,27000
171,"파이썬 프로그래밍 교과서 (파이썬으로 프로그래밍 입문하기!, 개정3판)",None,"제니퍼 캠벨, 폴 그라이즈 외 1명",길벗,0.0,0,20700
172,파이썬 동시성 프로그래밍 (명료하고 훌륭한 동시성 파이썬 코드 작성하고 개념 이해하기),None,엘리엇 포브스,에이콘출판,0.0,0,27000
173,가장 쉬운 파이썬 입문교실 (파이썬3 버전 호환 | Windows.Mac 함께 설명),None,오오사와 후미타카,영진닷컴,0.0,0,15300
174,특강마스터 파이썬 마스터 3급,None,김상민,렉스미디어닷넷,0.0,0,16200
175,처음 시작하는 파이썬 코딩,None,"문병수, Annie Chong 외 1명",(유)캐멀컨설팅,0.0,0,14400
176,해커의 언어 파이썬 3 입문 (보안 분야에 가장 필요한 파이썬 3 문법 체계),None,오동진,에이콘출판,0.0,0,22500
177,백박스 기반의 파이썬 2.7,None,오동진,에이콘출판,0.0,0,22500
178,파이썬과 비즈니스 자동화 (파이썬 레시피와 함께하는 비즈니스 자동화 프로그래밍 개발),None,체탄 기리다,에이콘출판,0.0,0,27000
179,파이썬으로 시작하는 코딩 (나만의 게임을 만들어 보자!),None,"브라이언 칼링, 말리 아데어",코딩타임,0.0,0,18000
180,"파이썬으로 풀어보는 수학 (코드로 통계, 확률, 미적분과 같은 다양한 수학 탐험하기)",None,아미트 사하,에이콘출판,0.0,0,22500
181,파이썬 for Beginner (쉽고 빠르게 익히는 프로그래밍의 기본 원리),None,우재남,한빛아카데미,4.7,30,22500
182,Getting Start Python(파이썬) (파이썬의 입문부터 응용까지 활용가능!),10월 신간도서,김영아,구민사,0.0,0,23400
183,"머신 러닝 인 파이썬 (파이썬을 활용한, 예측분석을 위한 기계 학습)",None,마이클 보울즈,비제이퍼블릭,0.0,0,24300
184,해커의 언어 치명적 파이썬 (해커 포렌식 분석가 침투 테스터 보안 전문가를 위한 쿡북),None,TJ 오코너,비제이퍼블릭,0.0,0,21600
185,파이썬 라이브러리 레시피 (표준 라이브러리부터 서드파티 패키지까지),None,이케우치 다카히로,프리렉,0.0,0,22500
186,파이썬으로 만드는 인공지능,None,오일석,한빛아카데미,0.0,0,27900
187,파이썬 데이터 과학 통계 학습 (Python Data Science Statistical Learning),None,황보현우,정보문화사,0.0,0,8550
188,쉽게 이해되는 파이썬 프로그래밍,None,"유석종, 창병모",인피니티북스,0.0,0,24300
189,파이썬과 함께하는 AI젯봇 (젯슨나노 활용 포함 | 쉽게 배우는 인공지능!),None,아이씨뱅큐,아이씨뱅큐,0.0,0,22500
190,진짜 코딩하며 배우는 파이썬 (바리스타 프로그램 만들기),None,"서민우, 박준원",앤써북,0.0,0,15930
191,모두의 엔트리 with 엔트리파이썬 (코딩! 블록으로 이해하고 파이썬 코드로 익힌다),None,곽혜미,길벗,5.0,1,16200
192,"쉽게 따라 만드는 파이썬 주식 자동매매 시스템 (증권사 API 사용, 매매전략 구현, 실전 투자 전환까지!)",None,박준성,길벗,4.5,2,13500
193,파이썬으로 무인도 탈출하기 (유튜브 동영상/프로그램 예제 소스  무료 제공),None,박정호,생능출판,0.0,0,12600
194,수학적 모델링 콘텐츠 파이썬 1 (파이썬 수학적 모델링 워크북),None,김준석,지오북스,0.0,0,9900
195,400제로 배우는 파이썬 입문 (취업 성공을 위한 속성 프로세스 + 400제 plus),None,김범준,심통,5.0,1,25200
196,파이썬 네트워크 프로그래밍 (IoT 사물인터넷을 위한),None,"서열규, 전희성",복두출판사,0.0,0,25740
197,비주얼 코딩: 스크래치&파이썬 (10살부터 시작하는 컴퓨터 프로그래밍),None,"캐롤 보더먼, 존 우드콕 외 3명",청어람아이(청어람미디어),0.0,0,17820
198,기본에 집중한 파이썬 프로그래밍,None,손승일,21세기사,0.0,0,27000
199,파이썬 딥러닝 머신러닝 입문 (Python Deep Learning Machine Learning),None,오승환,정보문화사,0.0,0,22500
200,colab에서 파이썬 빅데이터 처리,None,진하수,부크크(bookk),0.0,0,19900
201,"파이썬 GUI 프로그래밍 쿡북 (Tkinter, PyQt5를 활용한 반응형 사용자 인터페이스 개발)",None,부르크하르트 메이어,에이콘출판,0.0,0,31500
202,경영학과 함께하는 파이썬 인공지능,None,"박경욱, 박주영 외 1명",드림미디어,0.0,0,26600
203,파이썬 객체지향 프로그래밍,None,성백균,홍릉,0.0,0,25000
204,컴퓨터사고와 파이썬 프로그래밍,None,김영탁,홍릉,0.0,0,30600
205,통계를 위한 파이썬 프로그래밍,None,김진성,가메,0.0,0,22500
206,파이썬 데이터계산 행렬수학,None,김종률,경문사,0.0,0,28710
207,엑셀 자동화 with 파이썬 (복잡하고 지루한 반복 업무를 쉽고 빠르게 해치우는 방법),None,최은석,위키북스,5.0,1,25920
